order_id,event_id,total_tickets_sold,order_revenue
2769088840,8087625,2,100.0
2770075910,8087625,2,100.0
2798144180,8087625,1,50.0
2812817810,8087625,1,50.0
2815321890,8087625,3,150.0
2815670820,8087625,1,50.0
2820098550,8087625,4,0.0
2821819565,8087625,1,50.0
2821829420,8087625,2,100.0
2825431565,8087625,1,50.0
2283078670,8977125,4,0.0
2502307325,10889910,1,0.0
2502851410,10889910,2,0.0
2515332810,10889910,2,0.0
2534742520,10889910,1,0.0
2429531835,13738415,1,23.42
2437880450,13738415,1,23.42
2448203810,13738415,1,23.42
2469887930,13738415,2,46.84
2356097675,22097210,1,60.29
2362557600,22097210,2,120.2
2370698010,22097210,3,180.18
2374903620,22097210,2,120.16
2384212585,22097210,2,119.86
2385960825,22097210,3,179.31
2388745405,22097210,1,58.9
2396771270,22097210,1,57.41
2397235165,22097210,2,114.86
2400964885,22097210,1,57.73
2402413615,22097210,1,57.71
2402947680,22097210,1,57.63
2928660285,43080965,1,0.0
2928880690,43080965,1,0.0
2929421350,43080965,1,0.0
2932995475,43080965,1,0.0
2934912460,43080965,1,0.0
2934967175,43080965,1,0.0
2935539790,43080965,1,0.0
2653225990,44841255,3,0.0
2653504780,44841255,6,0.0
2653657380,44841255,1,0.0
2653668405,44841255,2,0.0
2653680090,44841255,2,0.0
2654578790,44841255,5,0.0
2654856580,44841255,10,0.0
2654874130,44841255,1,0.0
2654947435,44841255,2,0.0
2655203310,44841255,4,0.0
2655694780,44841255,2,0.0
2655871240,44841255,4,0.0
2656038245,44841255,2,0.0
2656050900,44841255,2,0.0
2656771210,44841255,2,0.0
2658585135,44841255,3,0.0
2659167145,44841255,2,0.0
2659337425,44841255,1,0.0
2662235110,44841255,4,0.0
2662336695,44841255,2,0.0
2662431660,44841255,2,0.0
2662448955,44841255,2,0.0
2662452130,44841255,2,0.0
2662477360,44841255,1,0.0
2662486650,44841255,4,0.0
2662495355,44841255,1,0.0
2662543775,44841255,4,0.0
2662608940,44841255,4,0.0
2662733340,44841255,2,0.0
2662812360,44841255,2,0.0
2663608615,44841255,4,0.0
2663741545,44841255,2,0.0
2663817095,44841255,4,0.0
2663842185,44841255,5,0.0
2664002955,44841255,6,0.0
2664190155,44841255,4,0.0
2664234330,44841255,5,0.0
2664264715,44841255,2,0.0
2664585325,44841255,4,0.0
2664585925,44841255,6,0.0
2664593470,44841255,2,0.0
2664595895,44841255,4,0.0
2664604175,44841255,2,0.0
2664612345,44841255,6,0.0
2664618765,44841255,2,0.0
2664618790,44841255,2,0.0
2664695790,44841255,2,0.0
2664812360,44841255,1,0.0
2664828105,44841255,2,0.0
2664837925,44841255,4,0.0
2664857395,44841255,3,0.0
2664865055,44841255,3,0.0
2664910975,44841255,6,0.0
2664945170,44841255,4,0.0
2664950375,44841255,3,0.0
2664994780,44841255,6,0.0
2665126310,44841255,3,0.0
2665141790,44841255,3,0.0
2665161340,44841255,5,0.0
2665199720,44841255,5,0.0
2665207645,44841255,8,0.0
2665240350,44841255,10,0.0
2665370020,44841255,4,0.0
2665414725,44841255,1,0.0
2665414770,44841255,4,0.0
2665629340,44841255,2,0.0
2665704760,44841255,2,0.0
2665711430,44841255,2,0.0
2665769885,44841255,4,0.0
2665831470,44841255,2,0.0
2665936535,44841255,2,0.0
2666140645,44841255,2,0.0
2666176300,44841255,2,0.0
2666465080,44841255,1,0.0
2666534110,44841255,3,0.0
2666936155,44841255,10,0.0
2667004935,44841255,8,0.0
2667514670,44841255,4,0.0
2667533675,44841255,5,0.0
2667533745,44841255,6,0.0
2667620210,44841255,7,0.0
2668367255,44841255,5,0.0
2668394600,44841255,1,0.0
2668746525,44841255,5,0.0
2668940505,44841255,1,0.0
2669343030,44841255,4,0.0
2669601510,44841255,1,0.0
2670127265,44841255,4,0.0
2670149025,44841255,1,0.0
2670187660,44841255,2,0.0
2670487845,44841255,2,0.0
2670492090,44841255,9,0.0
2670634365,44841255,3,0.0
2670901230,44841255,1,0.0
2671251985,44841255,4,0.0
2671305290,44841255,3,0.0
2671355675,44841255,1,0.0
2671772375,44841255,7,0.0
2672714305,44841255,5,0.0
2672754970,44841255,2,0.0
2672935595,44841255,5,0.0
2673002195,44841255,2,0.0
2673043190,44841255,6,0.0
2673045740,44841255,5,0.0
2673088965,44841255,4,0.0
2673411730,44841255,6,0.0
2673640905,44841255,4,0.0
2673953415,44841255,1,0.0
2674987535,44841255,3,0.0
2675213460,44841255,10,0.0
2675359140,44841255,3,0.0
2675435470,44841255,7,0.0
2676141965,44841255,3,0.0
2676489905,44841255,2,0.0
2676660655,44841255,4,0.0
2676684045,44841255,8,0.0
2676717175,44841255,3,0.0
2676783985,44841255,2,0.0
2676815040,44841255,6,0.0
2676850170,44841255,2,0.0
2677087200,44841255,1,0.0
2677129520,44841255,1,0.0
2677503855,44841255,1,0.0
2677504550,44841255,2,0.0
2677534730,44841255,3,0.0
2677984940,44841255,5,0.0
2678148335,44841255,4,0.0
2678314145,44841255,7,0.0
2678355610,44841255,4,0.0
2678876090,44841255,7,0.0
2679157330,44841255,1,0.0
2679209550,44841255,2,0.0
2679399200,44841255,4,0.0
2679549210,44841255,1,0.0
2679571040,44841255,2,0.0
2679630380,44841255,4,0.0
2679667105,44841255,2,0.0
2679866265,44841255,2,0.0
2680523785,44841255,3,0.0
2680529930,44841255,1,0.0
2680562535,44841255,2,0.0
2680765935,44841255,1,0.0
2680778230,44841255,3,0.0
2680786420,44841255,2,0.0
2680814980,44841255,4,0.0
2680896955,44841255,2,0.0
2680902990,44841255,4,0.0
2680903085,44841255,4,0.0
2680915390,44841255,2,0.0
2681047570,44841255,4,0.0
2681092365,44841255,2,0.0
2681347300,44841255,8,0.0
2681634765,44841255,4,0.0
2681646385,44841255,1,0.0
2681689865,44841255,3,0.0
2681853470,44841255,8,0.0
2682069230,44841255,1,0.0
2682664850,44841255,4,0.0
2682969750,44841255,3,0.0
2682996900,44841255,1,0.0
2683018985,44841255,1,0.0
2683381540,44841255,2,0.0
2683389640,44841255,4,0.0
2683447175,44841255,2,0.0
2683491370,44841255,2,0.0
2683528800,44841255,3,0.0
2683598120,44841255,1,0.0
2684038365,44841255,1,0.0
2684079920,44841255,1,0.0
2684161570,44841255,1,0.0
2684462560,44841255,2,0.0
2684719410,44841255,1,0.0
2684755570,44841255,1,0.0
2684836570,44841255,1,0.0
2684956265,44841255,5,0.0
2684979720,44841255,10,0.0
2685090400,44841255,6,0.0
2685235275,44841255,4,0.0
2685609860,44841255,2,0.0
2685762470,44841255,4,0.0
2685807635,44841255,2,0.0
2685927195,44841255,1,0.0
2685975295,44841255,2,0.0
2686105875,44841255,1,0.0
2686118145,44841255,6,0.0
2686226835,44841255,5,0.0
2686336185,44841255,2,0.0
2686401655,44841255,5,0.0
2686406250,44841255,2,0.0
2686497390,44841255,2,0.0
2686501085,44841255,7,0.0
2686529795,44841255,3,0.0
2686553155,44841255,2,0.0
2686599510,44841255,2,0.0
2686662085,44841255,4,0.0
2686833230,44841255,2,0.0
2687157440,44841255,3,0.0
2687206415,44841255,1,0.0
2687279110,44841255,1,0.0
2687341795,44841255,2,0.0
2687540520,44841255,5,0.0
2687609960,44841255,1,0.0
2687783705,44841255,4,0.0
2687839275,44841255,2,0.0
2687972220,44841255,10,0.0
2688078285,44841255,2,0.0
2688118110,44841255,1,0.0
2555255190,55544435,2,64.52
1940332505,57218985,1,0.0
1940369865,57218985,1,0.0
1940437765,57218985,1,0.0
1944416995,57218985,1,0.0
1945436095,57218985,1,0.0
1946935385,57218985,1,0.0
1947055950,57218985,1,0.0
1948391225,57218985,1,0.0
1949797100,57218985,1,0.0
1950191165,57218985,1,0.0
1952810480,57218985,1,0.0
1954188185,57218985,1,0.0
1974351780,59523735,1,0.0
1985078405,59523735,2,0.0
2004943115,59523735,2,0.0
2203410170,59562285,1,8.44
2211254170,59562285,1,8.49
2216060790,59562285,1,13.58
2235610245,59562285,1,13.72
1938716005,61328165,1,0.0
1949766000,61328165,1,0.0
1939677545,61636445,1,50.0
1943785825,61636445,1,50.0
1945019065,61636445,2,100.0
1952009035,61636445,1,60.0
1960636215,61636445,1,60.0
1961682835,61636445,1,60.0
1972192195,61636445,2,120.0
1974015855,61636445,1,60.0
1945583185,61792545,1,205.83
1962475135,61792545,1,197.1
1963858585,61792545,1,204.47
1984455880,62144645,1,0.0
1946093760,62624915,2,0.0
2032123035,62764625,2,30.0
2104981530,62764625,3,60.0
2117892765,62764625,4,200.0
2135204575,62764625,1,50.0
2146112440,62764625,1,50.0
1949569360,64100605,1,0.0
1949602240,64100605,1,0.0
1950881890,64100605,2,0.0
1950952480,64100605,2,0.0
1975317970,64100605,2,0.0
1975565400,64100605,1,0.0
1992032170,64100605,1,0.0
2002232640,64100605,1,0.0
2003944280,64100605,1,0.0
2010260945,64494785,23,0.0
2017931420,64494785,4,27.16
2019265420,64494785,3,19.4
2019265630,64494785,3,15.0
2019276060,64494785,2,0.0
2019279755,64494785,1,0.0
2019283715,64494785,3,0.0
2019290235,64494785,2,12.0
2019293565,64494785,1,6.0
2019294280,64494785,2,16.0
2019302970,64494785,4,27.16
2019305090,64494785,1,8.0
2019305890,64494785,1,8.0
2019309625,64494785,2,16.0
2019310050,64494785,1,6.0
2019313925,64494785,1,8.0
2019320235,64494785,2,16.0
2019321345,64494785,4,0.0
2019321405,64494785,1,8.0
2019331865,64494785,1,7.76
2019351710,64494785,1,6.0
2019352255,64494785,1,6.0
1964069050,64973605,1,0.0
1989688305,64973605,1,0.0
1996675155,64973605,1,0.0
1975840855,65726555,1,174.76
1935658185,66496155,5,0.0
1949809430,66496155,1,0.0
1967214650,66496155,1,0.0
2000601225,66496155,1,0.0
2007006875,66496155,1,0.0
2016853340,66496155,3,0.0
2018482250,66496155,1,0.0
2038863550,66496155,1,0.0
2038890105,66496155,1,0.0
2041766955,66496155,1,0.0
2069692300,66496155,1,0.0
2126191075,66496155,1,0.0
2128482165,66496155,1,0.0
2140416070,66496155,1,0.0
2156072640,66496155,1,0.0
2158919430,66496155,1,0.0
2160496750,66496155,1,0.0
2168668660,66496155,1,0.0
2234925325,66496155,7,0.0
2262401555,66496155,1,0.0
2263067595,66496155,1,0.0
2263525960,66496155,1,0.0
2282501875,66496155,1,0.0
2292081910,66496155,1,0.0
2331875545,66496155,1,0.0
2336994980,66496155,1,0.0
2376259700,66496155,1,0.0
2376598515,66496155,1,0.0
2395444515,66496155,1,0.0
2396020135,66496155,1,0.0
1935612955,66516745,1,0.0
1956651080,66516745,1,0.0
1957866485,66516745,1,0.0
1947960710,66670085,1,0.0
1950544185,66670085,1,0.0
1954090420,66670085,1,55.0
1956298220,66670085,1,55.0
1962001300,66670085,1,55.0
1964349510,66670085,1,55.0
1964686575,66670085,1,55.0
1968539215,66670085,1,55.0
1971528550,66670085,1,55.0
1973109980,66670085,1,0.0
1973468040,66670085,1,0.0
1973549165,66670085,1,0.0
1974014085,66670085,1,0.0
1976974165,66670085,1,0.0
1979967270,66670085,1,0.0
1981986120,66670085,1,0.0
1982681335,66670085,1,0.0
1983605235,66670085,1,0.0
1984190830,66670085,1,0.0
1984456045,66670085,1,0.0
1984468470,66670085,1,0.0
1984483990,66670085,1,0.0
1986023230,66670085,1,0.0
1992396070,66670085,1,0.0
1994087620,66670085,1,0.0
1994242275,66670085,1,0.0
1994243505,66670085,1,0.0
1994248425,66670085,1,0.0
1994352700,66670085,1,0.0
1995930260,66670085,1,0.0
1997731955,66670085,1,0.0
1999312245,66670085,1,0.0
1999348200,66670085,1,0.0
2000043335,66670085,1,0.0
2000346350,66670085,1,0.0
2001168930,66670085,1,0.0
2002140435,66670085,1,0.0
2003010355,66670085,1,0.0
2004545830,66670085,2,0.0
2004965000,66670085,1,0.0
2005562370,66670085,1,0.0
2005687250,66670085,1,0.0
2005696685,66670085,1,0.0
2006009790,66670085,1,0.0
2006026260,66670085,2,0.0
2006420245,66670085,1,0.0
2006518100,66670085,2,0.0
2006566700,66670085,1,0.0
2006635345,66670085,1,0.0
2006793645,66670085,1,0.0
2006833920,66670085,1,0.0
2007200275,66670085,1,0.0
2007210455,66670085,1,0.0
2007256590,66670085,1,0.0
2007372790,66670085,1,0.0
2007404180,66670085,1,0.0
2007591155,66670085,1,0.0
2007632510,66670085,1,0.0
2007642510,66670085,1,0.0
2007642515,66670085,1,0.0
2007648030,66670085,1,0.0
2007660925,66670085,1,0.0
2007666145,66670085,1,0.0
2007666855,66670085,1,0.0
2007817040,66670085,1,0.0
2007860025,66670085,1,0.0
1957328135,66771635,1,24.05
1967087190,66771635,1,24.05
1973280095,66771635,1,26.5
1947177000,66864445,3,351.39
1955652025,66864445,3,327.77
1957529845,66864445,2,234.26
1958386395,66864445,1,117.13
1960498585,66864445,1,117.13
1961352070,66864445,1,117.13
1961522115,66864445,2,234.26
1965108130,66864445,2,234.26
2352095385,66989635,2,0.0
2352802110,66989635,1,0.0
1941784840,67252025,1,1202.55
1950392655,67252025,1,1202.55
1934853105,67596925,1,0.0
1938546460,67596925,4,0.0
1947040390,67985515,1,0.0
1949955010,67985515,1,0.0
1950153110,67985515,1,0.0
1964808115,68592445,1,0.0
1934191920,69529435,1,79.56
1936701615,69615405,1,0.0
1937976225,69615405,1,0.0
1938076750,69615405,1,0.0
1955592050,69752995,1,0.0
1958791360,69752995,1,0.0
2015459890,69752995,1,0.0
2045674160,69752995,2,0.0
2045751710,69752995,2,0.0
2045834260,69752995,1,0.0
2046280505,69752995,2,0.0
2049363240,69752995,2,0.0
2058827015,69752995,1,0.0
2061265740,69752995,1,0.0
2063334270,69752995,1,0.0
2063548965,69752995,1,0.0
2064697450,69752995,1,0.0
2065324405,69752995,1,0.0
2066455900,69752995,1,0.0
2067602445,69752995,1,0.0
2068778035,69752995,1,0.0
2068911580,69752995,1,0.0
2077820800,69752995,1,0.0
2082316825,69990565,1,0.0
2084054425,69990565,1,0.0
2015459465,70024955,2,0.0
2015682185,70024955,1,0.0
1937890865,70046365,2,0.0
1939165730,70046365,1,0.0
1940288085,70046365,1,0.0
1971339085,70490845,1,7.52
1947953780,70769045,1,162.96
